id,country
1,Afghanistan
2,Albania
3,Andorra
4,Argentina
5,Armenia
6,Australia
7,Austria
8,Azerbaijan
9,Bangladesh
10,Belarus
11,Belgium
12,Brazil
13,Bulgaria
14,Canada
15,Chile
16,China
17,Countries Throughout The World
18,Croatia
19,Cyprus
20,Czech Republic
21,Denmark
22,Eastern Mediterranean
23,Egypt
24,England
25,Finland
26,France
27,Georgia
28,Germany
29,Great Britain
30,Greece
31,Holland
32,Hungary
33,Iceland
34,India
35,Iran
36,Iraq
37,Ireland
38,Isle Of Man
39,Israel
40,Italy
41,Japan
42,Jordan
43,Lebanon
44,Lithuania
45,Macedonia
46,Mauritania
47,Mexico
48,Mexico And Caribbean
49,Middle East
50,Mongolia
51,Nepal
52,Netherlands
53,New Zealand
54,Norway
55,Pakistan
56,Palestine
57,Poland
58,Portugal
59,Romania
60,Russia
61,Scotland
62,Serbia
63,Slovakia
64,Spain
65,Swaziland
66,Sweden
67,Switzerland
68,Syria
69,Tibet
70,Turkey
71,Ukraine
72,United Kingdom
73,United States
74,Wales